Elevation,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Horizontal_Distance_To_Fire_Points,Tree
2596,3,258,0,510,6279,Other
2590,2,212,-6,390,6225,Other
2804,9,268,65,3180,6121,Other
2785,18,242,118,3090,6211,Other
2595,2,153,-1,391,6172,Other
2579,6,300,-15,67,6031,Other
2606,7,270,5,633,6256,Other
2605,4,234,7,573,6228,Other
2617,9,240,56,666,6244,Other
2612,10,247,11,636,6230,Other
2612,4,180,51,735,6222,Other
2886,11,371,26,5253,4051,Other
2742,22,150,69,3215,6091,Other
2609,7,150,46,771,6211,Other
2503,4,67,4,674,5600,Other
2495,7,42,2,752,5576,Other
2610,1,120,-1,607,6096,Other
2517,7,85,6,595,5607,Other
2504,4,95,5,691,5572,Other
2503,5,85,10,741,5555,Other
2501,9,60,8,767,5547,Other
2880,17,216,30,4986,4323,Other
2768,23,192,82,3339,5972,Other
2511,8,124,0,638,5569,Other
2507,9,120,14,732,5534,Other
2492,6,0,0,860,5494,Other
2489,10,30,-4,849,5486,Other
2962,16,323,23,5916,3395,Other
2811,1,212,30,3670,5643,Other
2739,24,127,53,3281,6033,Other
2703,30,67,27,3191,6123,Other
2522,7,120,1,595,5569,Other
2519,6,124,4,616,5559,Other
2516,6,150,4,658,5541,Other
2515,9,162,4,680,5532,Other
2900,19,242,20,5199,4115,Other
2709,28,67,23,3224,6094,Other
2511,7,182,18,722,5494,Other
2749,30,124,53,3316,6005,Other
2686,12,0,0,3167,6155,Other
2699,3,0,0,2096,6853,Spruce
2570,2,0,0,331,5745,Other
2533,9,150,-3,577,5552,Other
2703,27,30,17,3141,6186,Other
2678,5,95,23,1660,6546,Other
2529,8,210,-5,666,5484,Other
2524,7,212,-4,684,5474,Other
2536,6,234,0,659,5475,Other
2498,6,95,7,900,5357,Other
2489,7,85,13,810,5334,Other
2713,30,60,17,3297,6039,Other
2739,25,85,43,3118,6219,Spruce
2696,2,30,0,3271,6071,Spruce
2510,14,192,19,891,5325,Other
2502,7,175,11,912,5316,Other
2722,24,30,19,3216,6132,Spruce
2500,11,190,9,930,5279,Other
2486,5,180,-4,870,5262,Other
2489,4,175,13,840,5254,Other
2489,6,162,13,810,5247,Other
2490,5,134,17,810,5218,Other
2952,11,42,7,5845,3509,Other
2705,8,134,22,2023,6615,Other
2507,7,153,10,930,5221,Other
2500,14,150,27,870,5205,Other
2493,10,127,20,840,5197,Other
2509,7,134,10,900,5184,Other
2919,13,90,6,5321,4060,Spruce
2740,6,218,42,2287,6686,Other
2640,8,180,-2,1092,5866,Other
2843,12,242,53,4434,4956,Other
3008,14,277,10,6371,3036,Other
2893,16,108,30,5066,4340,Other
2850,9,0,0,4858,4548,Other
2628,10,240,19,960,5645,Other
2864,18,201,74,4567,4849,Other
2827,28,134,65,3948,5474,Other
2529,5,30,14,1062,5047,Other
2808,7,382,95,3107,6341,Spruce
2840,26,134,42,4613,4833,Other
2795,10,531,96,2980,6497,Spruce
2746,16,67,22,2440,6597,Other
2847,26,150,82,3697,5796,Spruce
2840,14,216,88,3552,5944,Spruce
2537,7,210,17,1132,4919,Other
2860,17,175,98,3705,5800,Spruce
2818,26,30,17,4526,4978,Other
2801,7,560,58,3084,6457,Other
2791,10,418,48,2942,6606,Other
2745,11,67,24,2416,6428,Other
2514,6,272,-5,1082,4811,Other
