,Unnamed: 0,_price,type,_bedrooms,_bathrooms,lat,lng,_time_to_work_seconds_transit,_time_to_work_seconds_walking,cluster,_d_code,labels
0,0,985848.8549047558,APARTMENTS,5,1,53.355420572612864,-6.191959263676795,2775,4734,0,D14,0
1,1,557677.8432554507,HOUSE,3,2,53.372840784748206,-6.184022010903007,2225,5195,0,D14,0
2,2,174082.19414178596,HOUSE,1,1,53.362142734786566,-6.18587336953501,2192,5688,0,D14,0
3,3,384378.4640187508,HOUSE,2,1,53.37815444177492,-6.201223895641442,3243,4668,0,D14,0
4,4,403182.7016063148,HOUSE,2,1,53.354292847408665,-6.209338386581828,2520,5496,0,D14,0
5,5,434453.51344755857,HOUSE,2,2,53.36624347421746,-6.186522328771396,2706,5153,0,D14,0
6,6,423301.90861935983,HOUSE,2,1,53.35326810168944,-6.194046692666618,2357,4358,0,D14,0
7,7,331011.0128761826,HOUSE,2,2,53.36958140212289,-6.205463501299561,2521,4922,0,D14,0
8,8,577661.3204980028,HOUSE,3,2,53.36961344220939,-6.19743008956208,3262,5632,0,D14,0
9,9,761351.9854577403,APARTMENTS,4,1,53.3625826251615,-6.180387022364265,2721,5897,0,D14,0
10,10,625236.5093333657,APARTMENTS,3,1,53.35830900896582,-6.201689967152484,2762,4594,0,D14,0
11,11,848242.6885489,APARTMENTS,4,2,53.37002836883125,-6.190710061996644,2329,5103,0,D14,0
12,12,517068.85159959993,HOUSE,3,2,53.35323489223467,-6.201680977880387,2222,4333,0,D14,0
13,13,507587.6148332704,HOUSE,3,1,53.35839814111064,-6.187868865929453,2631,4644,0,D14,0
14,14,386435.5982830698,HOUSE,2,1,53.37160546840912,-6.205840173949772,3319,4530,0,D14,0
15,15,667609.4310186413,HOUSE,4,1,53.35135606343834,-6.190589080096357,2450,4898,0,D14,0
16,16,630872.2969038102,HOUSE,3,1,53.36914000937444,-6.185753631956166,3028,5203,0,D14,0
17,17,614521.7531162545,HOUSE,3,2,53.36117321359978,-6.205262876218739,2272,5290,0,D14,0
18,18,413401.5677132213,HOUSE,2,2,53.374836225049016,-6.192712625103561,2414,4597,0,D14,0
19,19,370700.7490030492,APARTMENTS,2,2,53.37552189305714,-6.18697461937523,2504,5069,0,D14,0
20,20,327029.08475357865,HOUSE,2,1,53.35163386761188,-6.19620926165667,2674,5638,0,D14,0
