Economical_ID,Name_Economical,Date_Economical,Headline_Economical,Description_Economical
1,Economic growth,2019-10-08,Full text of Paschal Donohoe’s Budget 2020 speech," Minister says this budget has been developed in the shadow of Brexit
            "
2,Economic growth,2019-10-04,US unemployment rate falls to near a 50-year low," August payrolls revised up to 168,000 from 130,000, as unemployment rates falls to 3.5%
            "
3,Economic growth,2019-10-03,"Interconnector is not just about electricity, it's about power"," John Fitzgerald: if Ireland is to generate 40% of its electricity from wind we need to double our interconnection with Britain and France
            "
4,Economic growth,2019-10-03,Makhlouf warns all Brexit outcomes damaging for Ireland," Central Bank governor says 16% fall in sterling against the euro since the UK decided to quit the EU has already hurt Irish businesses
            "
5,Economic growth,2019-09-26,Rents rise 7% in Dublin as mortgage approvals increase," Mortgage approvals total 4,355 in August, up 4.1 per cent compared with a year ago
            "
6,Economic growth,2019-09-26,Government urged to be more aggressive on taxing vacant sites," ESRI’s latest commentary predicts slowdown in housebuilding despite strong demand
            "
7,Economic growth,2019-09-19,No-deal Brexit: OECD warns Ireland will be worst hit outside UK," Think tank suggests impact will be extremely negative even with smooth adjustment
            "
8,Economic growth,2019-09-16,"Dublin labour market now as tight as central London, study finds"," Research suggests high-demand areas are finance, skilled construction, IT and health
            "
9,Economic growth,2019-09-13,Draghi has done his bit – now it’s over to Germany to save the euro," Market Beat: The outgoing ECB president has long been calling on governments to start spending
            "
10,Economic growth,2019-09-13,"Dublin house prices fall, Stillorgan redevelopment, and what a no-deal Brexit means"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
11,Economic growth,2019-09-13,What would a no-deal Brexit mean for the biggest sectors of the Irish economy?," A comprehensive guide to the massive impact likely if the UK crashes out of the EU
            "
12,Economic growth,2019-09-13,Irish unity poses greater risks to Northern Ireland than Brexit does," John FitzGerald: Both North and South could pay a large price for unity in the near future
            "
13,Economic growth,2019-09-09,British economy does better in July than expected," Services sector is main driver
            "
14,Economic growth,2019-09-09,Ireland’s bonds seen increasingly risky as Brexit nears end," Investors are sitting on double-digit returns but now they are starting to get nervous
            "
15,Economic growth,2019-09-06,"US economy creates a modest 130,000 jobs in August"," Unemployment rate holds steady at 3.7% and average earnings growth slows
            "
16,Economic growth,2019-09-06,Northern Ireland’s economy is threatened by more than Brexit," John FitzGerald: The North faces decades of inertia unless there is urgent reform
            "
