Political_ID,Name_Political,Date_Political,Headline_Political,Description_Political
1,government+policy,2019-09-23,‘No-deal Brexit irresponsible because of lack of a strategy it reflects’," The EU will never abandon the level playing field on regulatory competition
            "
2,government+policy,2019-09-13,Draghi has done his bit – now it’s over to Germany to save the euro," Market Beat: The outgoing ECB president has long been calling on governments to start spending
            "
3,government+policy,2019-09-13,Explainer: Apple’s €13bn tax appeal has huge implications," Case is of massive significance for Ireland and for the policing of state aid by the European Commission
            "
4,government+policy,2019-09-13,What would a no-deal Brexit mean for the biggest sectors of the Irish economy?," A comprehensive guide to the massive impact likely if the UK crashes out of the EU
            "
5,government+policy,2019-09-07,Will there be a price to be paid by Ireland for the backstop?," German industry boss hints at inevitable move towards tax harmony in Europe
            "
6,government+policy,2019-09-06,German business ‘unwavering’ in support for Brexit backstop," Germany’s top business lobby says industry remains fully behind Ireland’s stance
            "
7,government+policy,2019-09-06,"US economy creates a modest 130,000 jobs in August"," Unemployment rate holds steady at 3.7% and average earnings growth slows
            "
8,government+policy,2019-09-06,Northern Ireland’s economy is threatened by more than Brexit," John FitzGerald: The North faces decades of inertia unless there is urgent reform
            "
9,government+policy,2019-09-06,No-deal Brexit capable of derailing economy and reigniting Troubles," Ireland, more than any other EU state, is at the mercy of events way beyond its control
            "
10,government+policy,2019-09-04,Bank of England scales back estimate for worst-case Brexit hit to UK economy," Mark Carney now foresees 5.5% shrinkage in a no-deal scenario
            "
11,government+policy,2019-09-02,UK’s Labour would cost companies £300bn by shifting shares to staff," FT analysis shows potential scale of seizure, while landlords face ‘right to buy’ plan
            "
12,government+policy,2019-08-30,"Argentina is in default, says Standard & Poor’s"," Restructuring plan amounts to the ninth time that the country has reneged on its debt
            "
13,government+policy,2019-08-30,Are Ireland's falling employment figures a harbinger of recession?," Data surrounding Irish economy remains positive, but recession clouds are looming
            "
14,government+policy,2019-08-28,"No-deal Brexit will have ‘severe impact’ on Irish economy, Central Bank says"," Acting governor Sharon Donnery warns of need for fiscal prudence in face of growing risks
            "
15,government+policy,2019-08-25,Bundesbank chief Jens Weidmann opposes new stimulus," No time to ‘panic’ despite German economy heading for its first recession in six years
            "
16,government+policy,2019-08-20,Argentine peso gains after central bank sells dollar reserves," New treasury minister aims to stick to goal of erasing primary fiscal deficit
            "
17,government+policy,2019-08-19,Bundesbank says Germany could tip into recession," Country experiencing sharp drop in exports and decline in production
            "
