Social_ID,Name_Social,Date_Social,Headline_Social,Description_Social
1,Population+growth+rate,2019-05-24,Irish economy continues to buck global trends," John FitzGerald: New survey shows employment figures set to grow despite threats
            "
2,Population+growth+rate,2019-05-23,The economy and full employment: are we there yet?," Smart Money : Employers are now shouting loudly about skills shortages, pressure on wages and the impact the housing crisis is having
            "
3,Population+growth+rate,2019-05-21,Employment reaches record high after stronger than normal first quarter," Numbers in work have ‘never been higher’, says Central Statistics Office
            "
4,Population+growth+rate,2019-05-03,US job growth surges and unemployment rate drops to 49-year low," Economy to celebrate 10 years of expansion in July, the longest on record
            "
5,Population+growth+rate,2019-02-01,John FitzGerald: No-deal Brexit would make Budget 2019 look prescient," Instead of fuelling the boom the Government should be saving for future shocks
            "
6,Population+growth+rate,2019-01-03,The three big trends which will affect your finances this year," Smart Money: Brexit, world economy wobbles and interest rates are vital signs for 2019
                    "
7,Population+growth+rate,2018-11-20,Numbers at work in economy hit record of 2.27m," Foreign nationals now account for record 16.2% of those in employment
            "
8,Population+growth+rate,2018-11-13,UK unemployment ticks up with men worst hit," Record fall in EU nationals working in state
            "
9,Population+growth+rate,2018-11-12,Ibec predicts slowdown in growth and warns on Brexit," Business lobby group also expresses concern in relation to State’s corporate tax reliance
            "
10,Population+growth+rate,2018-10-25,Tweeting Taoiseach: was he correct to say we could help the UK out financially?," Smart Money: Leo Varadkar’s tweet raised eyebrows, particularly as we stil owe the UK €4m
                    "
11,Population+growth+rate,2018-10-05,US unemployment rate hits lowest level since 1969," Average hourly earnings rose 0.3% month-on-month
            "
12,Population+growth+rate,2018-10-02,Unemployment in Ireland falls to new post-crash low of 5.4%," State’s jobless rate is now three points below the euro zone average
            "
13,Population+growth+rate,2018-10-01,Euro zone unemployment drops to fresh post-crisis low," Rate of joblessness edges down to 8.1%, its lowest level since November 2008
            "
14,Population+growth+rate,2018-09-28,The day the banks stood still: counting the cost of the crash a decade later," Key players recall events leading to the bank guarantee – and its aftermath
            "
