Tech_ID,Name_Tech,Date_Tech,Headline_Tech,Description_Tech
1,Technology+incentives,2017-12-29,Business 2017: the winners and the losers," As always it was a year of ups and downs, as Michael O’Leary, Theresa May and Bono can attest
            "
2,Technology+incentives,2017-06-28,Ireland vulnerable due to over-reliance on corporate tax – TASC," Think tank warns change in corporate tax in EU and US could cause multinationals to go elsewhere
            "
3,Technology+incentives,2017-06-28,Irish Tax Institute says tax code failing indigenous exporters," Group warns of too much concentration on small number of multinationals
            "
4,Technology+incentives,2016-10-11,Budget 2017 town: what Dún Laoghaire thinks of the budget," VAT for hospitality welcomed; house price worries; pension hike dismissed as politics    
            "
5,Technology+incentives,2014-12-05,Standard & Poor’s upgrades Ireland’s debt rating," Agency expects economy to grow by more than foreseen   
            "
6,Technology+incentives,2014-02-18,Comcast takeover of Time Warner is  a monopoly maker," There’s good reason to believe monopoly is itself a barrier to innovation   
            "
7,Technology+incentives,2019-07-21,Is our desire to own our own home about to falter?," Chris Johns: Property is king but its primacy is a recent phenomenon
            "
8,Technology+incentives,2017-12-29,Business 2017: the winners and the losers," As always it was a year of ups and downs, as Michael O’Leary, Theresa May and Bono can attest
            "
9,Technology+incentives,2017-06-28,Ireland vulnerable due to over-reliance on corporate tax – TASC," Think tank warns change in corporate tax in EU and US could cause multinationals to go elsewhere
            "
10,Technology+incentives,2017-06-28,Irish Tax Institute says tax code failing indigenous exporters," Group warns of too much concentration on small number of multinationals
            "
11,Technology+incentives,2016-10-11,Budget 2017 town: what Dún Laoghaire thinks of the budget," VAT for hospitality welcomed; house price worries; pension hike dismissed as politics    
            "
12,Technology+incentives,2014-12-05,Standard & Poor’s upgrades Ireland’s debt rating," Agency expects economy to grow by more than foreseen   
            "
13,Technology+incentives,2014-02-18,Comcast takeover of Time Warner is  a monopoly maker," There’s good reason to believe monopoly is itself a barrier to innovation   
            "
14,Technology+incentives,2019-07-21,Is our desire to own our own home about to falter?," Chris Johns: Property is king but its primacy is a recent phenomenon
            "
15,Technology+incentives,2017-12-29,Business 2017: the winners and the losers," As always it was a year of ups and downs, as Michael O’Leary, Theresa May and Bono can attest
            "
16,Technology+incentives,2017-06-28,Ireland vulnerable due to over-reliance on corporate tax – TASC," Think tank warns change in corporate tax in EU and US could cause multinationals to go elsewhere
            "
17,Technology+incentives,2017-06-28,Irish Tax Institute says tax code failing indigenous exporters," Group warns of too much concentration on small number of multinationals
            "
18,Technology+incentives,2016-10-11,Budget 2017 town: what Dún Laoghaire thinks of the budget," VAT for hospitality welcomed; house price worries; pension hike dismissed as politics    
            "
19,Technology+incentives,2014-12-05,Standard & Poor’s upgrades Ireland’s debt rating," Agency expects economy to grow by more than foreseen   
            "
20,Technology+incentives,2014-02-18,Comcast takeover of Time Warner is  a monopoly maker," There’s good reason to believe monopoly is itself a barrier to innovation   
            "
21,Technology+incentives,2019-07-21,Is our desire to own our own home about to falter?," Chris Johns: Property is king but its primacy is a recent phenomenon
            "
22,Technology+incentives,2017-12-29,Business 2017: the winners and the losers," As always it was a year of ups and downs, as Michael O’Leary, Theresa May and Bono can attest
            "
23,Technology+incentives,2017-06-28,Ireland vulnerable due to over-reliance on corporate tax – TASC," Think tank warns change in corporate tax in EU and US could cause multinationals to go elsewhere
            "
24,Technology+incentives,2017-06-28,Irish Tax Institute says tax code failing indigenous exporters," Group warns of too much concentration on small number of multinationals
            "
25,Technology+incentives,2016-10-11,Budget 2017 town: what Dún Laoghaire thinks of the budget," VAT for hospitality welcomed; house price worries; pension hike dismissed as politics    
            "
26,Technology+incentives,2014-12-05,Standard & Poor’s upgrades Ireland’s debt rating," Agency expects economy to grow by more than foreseen   
            "
27,Technology+incentives,2014-02-18,Comcast takeover of Time Warner is  a monopoly maker," There’s good reason to believe monopoly is itself a barrier to innovation   
            "
28,Technology+incentives,2019-07-21,Is our desire to own our own home about to falter?," Chris Johns: Property is king but its primacy is a recent phenomenon
            "
29,Technology+incentives,2017-12-29,Business 2017: the winners and the losers," As always it was a year of ups and downs, as Michael O’Leary, Theresa May and Bono can attest
            "
30,Technology+incentives,2017-06-28,Ireland vulnerable due to over-reliance on corporate tax – TASC," Think tank warns change in corporate tax in EU and US could cause multinationals to go elsewhere
            "
31,Technology+incentives,2017-06-28,Irish Tax Institute says tax code failing indigenous exporters," Group warns of too much concentration on small number of multinationals
            "
32,Technology+incentives,2016-10-11,Budget 2017 town: what Dún Laoghaire thinks of the budget," VAT for hospitality welcomed; house price worries; pension hike dismissed as politics    
            "
33,Technology+incentives,2014-12-05,Standard & Poor’s upgrades Ireland’s debt rating," Agency expects economy to grow by more than foreseen   
            "
34,Technology+incentives,2014-02-18,Comcast takeover of Time Warner is  a monopoly maker," There’s good reason to believe monopoly is itself a barrier to innovation   
            "
35,Technology+incentives,2019-07-21,Is our desire to own our own home about to falter?," Chris Johns: Property is king but its primacy is a recent phenomenon
            "
36,Technology+incentives,2017-12-29,Business 2017: the winners and the losers," As always it was a year of ups and downs, as Michael O’Leary, Theresa May and Bono can attest
            "
37,Technology+incentives,2017-06-28,Ireland vulnerable due to over-reliance on corporate tax – TASC," Think tank warns change in corporate tax in EU and US could cause multinationals to go elsewhere
            "
38,Technology+incentives,2017-06-28,Irish Tax Institute says tax code failing indigenous exporters," Group warns of too much concentration on small number of multinationals
            "
39,Technology+incentives,2016-10-11,Budget 2017 town: what Dún Laoghaire thinks of the budget," VAT for hospitality welcomed; house price worries; pension hike dismissed as politics    
            "
40,Technology+incentives,2014-12-05,Standard & Poor’s upgrades Ireland’s debt rating," Agency expects economy to grow by more than foreseen   
            "
41,Technology+incentives,2014-02-18,Comcast takeover of Time Warner is  a monopoly maker," There’s good reason to believe monopoly is itself a barrier to innovation   
            "
42,Technology+incentives,2019-07-21,Is our desire to own our own home about to falter?," Chris Johns: Property is king but its primacy is a recent phenomenon
            "
43,Technology+incentives,2017-12-29,Business 2017: the winners and the losers," As always it was a year of ups and downs, as Michael O’Leary, Theresa May and Bono can attest
            "
44,Technology+incentives,2017-06-28,Ireland vulnerable due to over-reliance on corporate tax – TASC," Think tank warns change in corporate tax in EU and US could cause multinationals to go elsewhere
            "
45,Technology+incentives,2017-06-28,Irish Tax Institute says tax code failing indigenous exporters," Group warns of too much concentration on small number of multinationals
            "
46,Technology+incentives,2016-10-11,Budget 2017 town: what Dún Laoghaire thinks of the budget," VAT for hospitality welcomed; house price worries; pension hike dismissed as politics    
            "
47,Technology+incentives,2014-12-05,Standard & Poor’s upgrades Ireland’s debt rating," Agency expects economy to grow by more than foreseen   
            "
48,Technology+incentives,2014-02-18,Comcast takeover of Time Warner is  a monopoly maker," There’s good reason to believe monopoly is itself a barrier to innovation   
            "
49,Technology+incentives,2019-07-21,Is our desire to own our own home about to falter?," Chris Johns: Property is king but its primacy is a recent phenomenon
            "
50,Technology+incentives,2017-12-29,Business 2017: the winners and the losers," As always it was a year of ups and downs, as Michael O’Leary, Theresa May and Bono can attest
            "
51,Technology+incentives,2017-06-28,Ireland vulnerable due to over-reliance on corporate tax – TASC," Think tank warns change in corporate tax in EU and US could cause multinationals to go elsewhere
            "
52,Technology+incentives,2017-06-28,Irish Tax Institute says tax code failing indigenous exporters," Group warns of too much concentration on small number of multinationals
            "
