P_ID,Name_Pestal,Date_Pestel,Headline_Pestel,Description_Pestel
1,Economic growth,2014-01-02,Latvia joins euro zone amid public fears of price rises," Euro switch comes as Baltic state posts strong economic figures after sharp contraction   
            "
2,Economic growth,2014-01-04,Bernanke finds grounds for cautious optimism as he ends term at Fed," Chairman points to faster-than-expected growth of emerging market economies   
            "
3,Interest rates,2014-01-04,Bernanke finds grounds for cautious optimism as he ends term at Fed," Chairman points to faster-than-expected growth of emerging market economies   
            "
4,Unemployment rates,2014-01-04,Bernanke finds grounds for cautious optimism as he ends term at Fed," Chairman points to faster-than-expected growth of emerging market economies   
            "
5,government+policy,2014-01-08,Wolfgang Schäuble warns of another global financial crisis," Greek finance minister Euclid Tsakalotos met investors in London last month
            "
6,Economic growth,2014-01-08,IMF set to raise forecast for global growth," A faster-than-expected expansion in the world economy will see IMF revise its forecast upwards in about three weeks   
            "
7,Research+development,2014-01-08,Lack of twenty-somethings is having a huge impact on the mix of housing required,"  Population change means residential development should be weighted towards family homes rather than apartments 
            "
8,government+policy,2014-01-09,"Europe still vulnerable to financial shocks, warns Dijsselbloem"," John FitzGerald: locating customs barrier in Irish Sea takes no account of North’s economy
            "
9,Economic growth,2014-01-09,Fed plans to ‘proceed cautiously’ in slowing quantitative easing," Minutes signal Fed’s willingness to maintain asset purchases if necessary   
            "
10,Interest rates,2014-01-09,ECB  leaves interest rates unchanged," European stocks rose following meeting of governing council in Frankfurt    
            "
11,Interest rates,2014-01-09,Fed plans to ‘proceed cautiously’ in slowing quantitative easing," Minutes signal Fed’s willingness to maintain asset purchases if necessary   
            "
12,Inflation rates,2014-01-09,ECB  leaves interest rates unchanged," European stocks rose following meeting of governing council in Frankfurt    
            "
13,Inflation rates,2014-01-09,Fed plans to ‘proceed cautiously’ in slowing quantitative easing," Minutes signal Fed’s willingness to maintain asset purchases if necessary   
            "
14,Unemployment rates,2014-01-09,Fed plans to ‘proceed cautiously’ in slowing quantitative easing," Minutes signal Fed’s willingness to maintain asset purchases if necessary   
            "
15,government+policy,2014-01-10,Martin Wolf: Brazil’s crisis presents an opportunity," If current sterling weakness isn’t a full-blown crisis it is certainly a major headache for many companies
            "
16,government+policy,2014-01-10,West must face challenge of Xi’s Leninist autocracy," Fischer was speaking in advance of the release of minutes from a fed committee
            "
17,Political+stability,2014-01-10,Remarks by George Soros cause  jitters as Year of the Monkey starts," Stock regulator widens probe on brokerages to include  securities firm   
            "
18,foreign+trade+policy,2014-01-10,EU promises ‘firm response’ if Donald Trump introduces tariffs," Anxiety among frontier businesses over the North’s status in customs union
            "
19,Economic growth,2014-01-10,High mobility of capital and technology means prospects of economy are unclear," Opinion: In the short term there is a prospect of a spurt of growth but attention needs to be paid to sowing the seeds of long-term prosperity   
            "
20,Interest rates,2014-01-10,Diverging paths of central banks made clear by ECB leaving door ajar on easing," Euro drops to lowest level in a year against pound following Draghi’s remarks   
            "
21,Interest rates,2014-01-10,High mobility of capital and technology means prospects of economy are unclear," Opinion: In the short term there is a prospect of a spurt of growth but attention needs to be paid to sowing the seeds of long-term prosperity   
            "
22,Inflation rates,2014-01-10,Diverging paths of central banks made clear by ECB leaving door ajar on easing," Euro drops to lowest level in a year against pound following Draghi’s remarks   
            "
