CompanyName,InstrumentName,MarketCap,ISEQWeightingPercent,DescriptionStockDetails,Website,DepartmentDetails
ABBEY,Ordinary Shares,294,0.07,"Abbey plc is quoted on Euronext Growth in Dublin, and the AIM Market in London.
The company’s main activities are residential housing development in the United Kingdom, Ireland and Prague.
The plant hire division, M&J Engineers Ltd., is based in the United Kingdom.",https://abbeyplc.ie/,Real Estate
AIB,Ordinary Shares EUR 0.625,10803,3.78,"AIB is a financial services group operating predominantly in the Republic of Ireland and the UK. We provide a comprehensive range of services to personal, business and corporate customers in our target markets and have leading market shares in banking products in the Republic of Ireland. AIB’s business has been restructured in recent years with the aim of becoming a customer focused, profitable and lower risk institution, well positioned to support economic recovery in Ireland while seeking to generate sustainable shareholder returns.",https://group.aib.ie/,Banking
AMINEX,Ordinary Shares,66,0.06,"Aminex PLC is a producing, upstream oil and gas company premium listed on the London Stock Exchange and primary listed on the Irish Stock Exchange (AEX)",http://aminex-plc.com/,"Gas, Oil & Natural Resources"
AMRYT PHARMA,Ordinary Shares. GBP0.06,58,0.04,Amryt is a biopharmaceutical company focused on developing and delivering innovative new treatments to help improve the lives of patients with rare and orphan diseases. Amryt comprises a profitable and growing commercial business with a significant development pipeline.,https://www.amrytpharma.com/,Medical & Pharmaceutical
APPLEGREEN,Ordinary Shares,743,0.53,"Applegreen is a major petrol forecourt retailer with operations in the Republic of Ireland, the United Kingdom and the USA. The Group is pursuing a growth strategy focused on acquiring and developing new sites in each of the three markets in which it operates. As at 31 December 2018, the business operated 472 forecourt sites and employed c 10,700 people.",https://www.applegreenstores.com/,Goods & Services
ARYZTA,Registered Shares,968,1.17,"ARYZTA (‘ARYZTA’) is an international food business with a leadership position in frozen B2B bakery.  We are a global supplier to the food service, retail and QSR sectors.",https://www.aryzta.com/,FMCG
BANK OF IRELAND,Ordinary Shares,5540,5.77,"Bank of Ireland Group plc is a public limited company incorporated in Ireland, with its registered office at 40 Mespil Road, Dublin 4 and registered number 593672. Bank of Ireland Group plc, whose shares are listed on the main markets of the Irish Stock Exchange plc and the London Stock Exchange plc, is the holding company of Bank of Ireland.",https://investorrelations.bankofireland.com/,Banking
C and C GROUP,Ordinary Shares of Eur 0.01,1010,1.26,"A leading manufacturer, marketer and distributor of premium branded cider, beer, wine & soft drinks.",https://candcgroupplc.com/,FMCG
CAIRN HOMES,Ordinary Shares,1018,1.16,"Cairn is committed to building high quality, competitively-priced, sustainable new homes in great locations.",https://www.cairnhomes.com/,Real Estate
CPL RESOURCES,Ordinary Shares,167,0.13,Cpl is a global provider of talent solutions. The Group comprises 23 brands with expertise across the talent spectrum.,https://cpl.com/,Services
