,_price,type,_bedrooms,_bathrooms,lat,lng,_time_to_work_seconds_transit,_time_to_work_seconds_walking,cluster,_d_code
0,370336.3441771207,APARTMENTS,2,1,53.355420572612864,-6.191959263676795,2926,5802,0,D14
1,374015.1469178533,APARTMENTS,2,1,53.372840784748206,-6.184022010903007,2693,5116,0,D14
2,621864.4363793376,HOUSE,3,1,53.362142734786566,-6.18587336953501,1879,4994,0,D14
3,214933.60741600246,APARTMENTS,1,2,53.37815444177492,-6.201223895641442,2870,5519,0,D14
4,191696.24327843142,APARTMENTS,1,1,53.354292847408665,-6.209338386581828,2714,5507,0,D14
5,556806.0818933584,HOUSE,3,1,53.36624347421746,-6.186522328771396,2516,5613,0,D14
6,188148.30302318517,HOUSE,1,2,53.35326810168944,-6.1940466926666184,3774,5630,0,D14
7,547313.2181071598,HOUSE,3,1,53.36958140212289,-6.205463501299561,2953,4813,0,D14
8,372237.2208951399,APARTMENTS,2,1,53.36961344220939,-6.19743008956208,2323,4481,0,D14
9,539226.2517147774,HOUSE,3,1,53.3625826251615,-6.180387022364265,2776,5263,0,D14
10,376484.3348482345,HOUSE,2,1,53.35830900896582,-6.201689967152484,2751,5550,0,D14
11,662474.1078538761,APARTMENTS,4,1,53.37002836883125,-6.190710061996644,2529,5081,0,D14
12,388463.5539807014,APARTMENTS,2,1,53.35323489223467,-6.201680977880387,2149,4715,0,D14
13,571169.2230692523,APARTMENTS,3,1,53.358398141110634,-6.187868865929453,2741,4160,0,D14
14,1061562.9677681092,HOUSE,5,2,53.37160546840912,-6.205840173949772,1974,5411,0,D14
15,516210.937609458,HOUSE,3,2,53.35135606343834,-6.190589080096357,1721,4757,0,D14
16,179690.68140030466,HOUSE,1,1,53.36914000937444,-6.185753631956166,2723,4499,0,D14
17,623806.8569722414,HOUSE,3,1,53.36117321359978,-6.205262876218739,2352,5416,0,D14
18,374844.47855530947,APARTMENTS,2,1,53.374836225049016,-6.192712625103561,2796,4952,0,D14
19,615351.8601068975,HOUSE,3,2,53.37552189305714,-6.18697461937523,1892,4809,0,D14
20,594720.8691329752,HOUSE,3,1,53.35163386761188,-6.19620926165667,3622,4879,0,D14
21,649323.2199837824,HOUSE,3,2,53.35818552570715,-6.193752568197108,3106,5507,0,D14
22,393731.8186504151,HOUSE,2,2,53.36845881757813,-6.199709916124936,3048,5395,0,D14
23,774569.678173566,HOUSE,4,4,53.36401303941916,-6.188130320050225,2365,4898,0,D14
24,567086.8120725637,APARTMENTS,3,1,53.36353340420884,-6.196584433751478,2965,5043,0,D14
25,848297.0664521374,HOUSE,4,2,53.35721731770692,-6.188865447033638,1957,5192,0,D14
26,647952.1529026814,HOUSE,3,2,53.359273819718,-6.199888603718925,2507,4604,0,D14
27,906114.5455736673,APARTMENTS,5,2,53.350228418032785,-6.200717833345923,2323,5563,0,D14
28,203954.05322250046,HOUSE,1,1,53.355471045244606,-6.1950714929292605,3221,5879,0,D14
29,163743.56865830955,HOUSE,1,2,53.357887553816525,-6.192410446231345,3537,4900,0,D14
30,577565.9699240819,HOUSE,3,1,53.354231962974026,-6.201967177192346,2342,4998,0,D14
31,342605.0512001533,HOUSE,2,1,53.37570614135919,-6.186518054145215,3030,5771,0,D14
32,588810.8652355648,HOUSE,3,1,53.36776497336505,-6.198591120911686,2915,4796,0,D14
33,945551.7608604535,APARTMENTS,5,2,53.37573313585552,-6.203532215233589,2753,5130,0,D14
34,714746.3074787144,APARTMENTS,4,4,53.3673133228192,-6.183868002934149,2739,5415,0,D14
35,381626.8519817531,HOUSE,2,2,53.374326435714856,-6.192087279893317,3034,5108,0,D14
36,627945.4031557799,HOUSE,3,1,53.36655606617823,-6.182341759824294,2383,5879,0,D14
37,502729.7308602027,APARTMENTS,3,1,53.37565728664482,-6.188906088919985,3212,5137,0,D14
38,194584.59256391934,APARTMENTS,1,1,53.36964367886195,-6.186011333029287,2648,4723,0,D14
39,667398.6439398616,HOUSE,4,1,53.37713204907195,-6.189771639355682,2509,5275,0,D14
40,694926.4055558477,HOUSE,4,4,53.376094356088124,-6.1933471178528325,2249,4265,0,D14
41,2619078.0992174284,HOUSE,5,4,53.277925147614894,-6.100066780721032,3591,9596,1,Unknown
42,2266543.399326604,HOUSE,5,3,53.27102143392027,-6.100476618632984,3787,9871,1,Unknown
43,1548491.951232026,HOUSE,3,1,53.261762997445004,-6.100482373870926,3574,10150,1,Unknown
44,1642685.8597460221,HOUSE,3,2,53.26680311963782,-6.098158446895769,3756,10089,1,Unknown
45,2320136.4896579813,HOUSE,4,1,53.26618559986055,-6.098597044068857,3705,9622,1,Unknown
46,1020049.2175158805,HOUSE,2,3,53.284708337273,-6.108746128535379,3692,9838,1,Unknown
47,984548.2570855032,APARTMENTS,2,1,53.26521102725135,-6.096458433711253,3663,9833,1,Unknown
48,2509409.9247198016,APARTMENTS,5,2,53.28465804111849,-6.1077053140200075,3708,10433,1,Unknown
